City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
557,Mimongo,GA,81.9,light rain,-1.6195,11.6068,
558,Marsh Harbour,BS,82.78,clear sky,26.5412,-77.0636,Abaco Beach Resort
559,Buta,CD,75.79,light rain,2.7858,24.73,HOTEL BISO NA BISO
572,Uaua,BR,77.79,overcast clouds,-9.8414,-39.4817,Hotel Uauá
573,Luis Correia,BR,85.78,few clouds,-2.8792,-41.6669,Hotel Amarração
575,Sembe,CG,80.28,overcast clouds,1.6481,14.5806,
576,Mana,GF,81.16,clear sky,5.6592,-53.7767,LE SAMANA
577,Keti Bandar,PK,88.18,clear sky,24.1447,67.4497,Haji laloo memon house
581,Saint-Pierre,RE,78.44,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
583,Manavalakurichi,IN,84.29,few clouds,8.1333,77.3,Udaya Boys Hostel
584,Aguas Formosas,BR,73.71,scattered clouds,-17.0822,-40.9358,HAVAY PALACE HOTEL
585,Milton,US,72.05,broken clouds,34.1322,-84.3007,Children's Cottage Montessori
586,Atambua,ID,73.27,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
588,Gorontalo,ID,74.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
594,Yaan,NG,82.96,overcast clouds,7.3833,8.5667,
596,Labrea,BR,81.73,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
598,Springbok,ZA,71.78,clear sky,-29.6643,17.8865,Undulata Country Lodge
600,Tezu,IN,73.2,overcast clouds,27.9167,96.1667,Circuit House
601,Kapit,MY,75.02,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
603,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
604,Agaro,ET,75.31,light rain,7.85,36.65,
605,Jacqueville,CI,78.71,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
608,Ambulu,ID,76.8,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
609,Uribia,CO,83.61,broken clouds,11.7139,-72.266,Hotel Uribia
610,Pochutla,MX,75.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
615,Sampit,ID,75.97,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
618,Tura,IN,75.42,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
621,Caravelas,BR,79.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
622,Lorengau,PG,81.9,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
624,Odessa,UA,73.33,clear sky,46.4775,30.7326,Londonskaya Hotel
630,Sinnamary,GF,82.17,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
631,Wukari,NG,81.93,overcast clouds,7.85,9.7833,Elimtop
632,Twentynine Palms,US,80.24,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
633,Biak,ID,76.44,light rain,-0.9131,122.8766,Penginapan Kim
634,Howard Springs,AU,78.71,broken clouds,-12.497,131.047,buffalo beach hostel
635,Banda Aceh,ID,81.45,overcast clouds,5.5577,95.3222,Sulthan Hotel International
637,Alyangula,AU,74.34,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
